gene	len_aa	Pfam	R	KO
pmm:PMM0070	425	Aminotran_5 DegT_DnrJ_EryC1 Cys_Met_Meta_PP Beta_elim_lyase SelA	R03599	K11717
pmm:PMM0070	425	Aminotran_5 DegT_DnrJ_EryC1 Cys_Met_Meta_PP Beta_elim_lyase SelA	R11528	K11717
pmm:PMM0076	545	PGM_PMM_III PGM_PMM_I PGM_PMM_II PGM_PMM_IV	R00959	K01835
pmm:PMM0076	545	PGM_PMM_III PGM_PMM_I PGM_PMM_II PGM_PMM_IV	R01057	K01835
pmm:PMM0076	545	PGM_PMM_III PGM_PMM_I PGM_PMM_II PGM_PMM_IV	R08639	K01835
pmm:PMM0080	226	Pan_kinase	R02971	K03525
pmm:PMM0080	226	Pan_kinase	R03018	K03525
pmm:PMM0080	226	Pan_kinase	R04391	K03525
pmm:PMM0081	240	PAPS_reduct ATP_bind_3	R02021	K00390
pmm:PMM0082	394	Pyr_redox_2 Pyr_redox Pyr_redox_3 NAD_binding_9 NAD_binding_8 K_oxygenase Thi4 Lycopene_cycl DAO MAF_flag10 TrkA_N	R11061	K17872
pmm:PMM0096	265	Inositol_P FBPase	R01185	K01092
pmm:PMM0096	265	Inositol_P FBPase	R01186	K01092
pmm:PMM0096	265	Inositol_P FBPase	R01187	K01092
pmm:PMM0100	555	FAD_binding_2 Succ_DH_flav_C DAO HI0933_like Pyr_redox_2 GIDA Thi4 FAD_binding_3 Lycopene_cycl	R00357	K00278
pmm:PMM0100	555	FAD_binding_2 Succ_DH_flav_C DAO HI0933_like Pyr_redox_2 GIDA Thi4 FAD_binding_3 Lycopene_cycl	R00481	K00278
pmm:PMM0102	454	Radical_SAM UPF0004 TRAM_2 TRAM V_ATPase_I Fer4_12	R10652	K14441
pmm:PMM0105	220	RibD_C	R03458	K00082
pmm:PMM0106	308	PTPS	R04286	K01737
pmm:PMM0106	308	PTPS	R09959	K01737
pmm:PMM0107	185	SKI AAA_18 IPT Cytidylate_kin2 AAA_33 WSN DUF2498	R02412	K00891
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R03522	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07002	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07003	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07004	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07023	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07024	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07025	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07026	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07069	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07070	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07083	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07084	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07091	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07092	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07093	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07094	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07100	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07113	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R07116	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R08280	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R09409	K00799
pmm:PMM0110	241	GST_N_3 GST_N_2 GST_N GST_C GST_C_2 GST_C_3 GST_N_4 GST_C_6 Glutaredoxin	R11905	K00799
pmm:PMM0113	269	HEM4	R03165	K01719
pmm:PMM0115	484	Amino_oxidase NAD_binding_8 MCRA Pyr_redox_2 Pyr_redox FAD_binding_2 DAO FAD_oxidored HI0933_like Thi4 FAD_binding_3 NAD_binding_9 GIDA 3HCDH_N	R04798	K00514
pmm:PMM0115	484	Amino_oxidase NAD_binding_8 MCRA Pyr_redox_2 Pyr_redox FAD_binding_2 DAO FAD_oxidored HI0933_like Thi4 FAD_binding_3 NAD_binding_9 GIDA 3HCDH_N	R04800	K00514
pmm:PMM0115	484	Amino_oxidase NAD_binding_8 MCRA Pyr_redox_2 Pyr_redox FAD_binding_2 DAO FAD_oxidored HI0933_like Thi4 FAD_binding_3 NAD_binding_9 GIDA 3HCDH_N	R07511	K00514
pmm:PMM0115	484	Amino_oxidase NAD_binding_8 MCRA Pyr_redox_2 Pyr_redox FAD_binding_2 DAO FAD_oxidored HI0933_like Thi4 FAD_binding_3 NAD_binding_9 GIDA 3HCDH_N	R09656	K00514
pmm:PMM0115	484	Amino_oxidase NAD_binding_8 MCRA Pyr_redox_2 Pyr_redox FAD_binding_2 DAO FAD_oxidored HI0933_like Thi4 FAD_binding_3 NAD_binding_9 GIDA 3HCDH_N	R09658	K00514
pmm:PMM0123	322	PALP	R00897	K01738
pmm:PMM0123	322	PALP	R03601	K01738
pmm:PMM0123	322	PALP	R04859	K01738
pmm:PMM0130	214	Thymidylate_kin dNK AAA_28 AAA_17 AAA_22 AAA_18	R02094	K00943
pmm:PMM0130	214	Thymidylate_kin dNK AAA_28 AAA_17 AAA_22 AAA_18	R02098	K00943
pmm:PMM0135	466	FA_synthesis	R12240	K03621
pmm:PMM0136	335	ACP_syn_III_C ACP_syn_III Chal_sti_synt_C Thiolase_N	R10707	K00648
pmm:PMM0137	298	Acyl_transf_1	R01626	K00645
pmm:PMM0137	298	Acyl_transf_1	R11671	K00645
pmm:PMM0138	206	Acyltransferase	R02241	K00655
pmm:PMM0138	206	Acyltransferase	R09381	K00655
pmm:PMM0141	415	PolyA_pol PolyA_pol_RNAbd tRNA_NucTran2_2	R09382	K00974
pmm:PMM0141	415	PolyA_pol PolyA_pol_RNAbd tRNA_NucTran2_2	R09383	K00974
pmm:PMM0141	415	PolyA_pol PolyA_pol_RNAbd tRNA_NucTran2_2	R09384	K00974
pmm:PMM0141	415	PolyA_pol PolyA_pol_RNAbd tRNA_NucTran2_2	R09386	K00974
pmm:PMM0143	302	SQS_PSY	R02065	K02291
pmm:PMM0143	302	SQS_PSY	R04218	K02291
pmm:PMM0143	302	SQS_PSY	R07270	K02291
pmm:PMM0143	302	SQS_PSY	R10177	K02291
pmm:PMM0144	473	Amino_oxidase NAD_binding_8 MCRA DAO Pyr_redox Pyr_redox_2 Thi4 FAD_binding_2 FAD_oxidored FMO-like TxDE HI0933_like FAD_binding_3	R04786	K02293
pmm:PMM0144	473	Amino_oxidase NAD_binding_8 MCRA DAO Pyr_redox Pyr_redox_2 Thi4 FAD_binding_2 FAD_oxidored FMO-like TxDE HI0933_like FAD_binding_3	R04787	K02293
pmm:PMM0144	473	Amino_oxidase NAD_binding_8 MCRA DAO Pyr_redox Pyr_redox_2 Thi4 FAD_binding_2 FAD_oxidored FMO-like TxDE HI0933_like FAD_binding_3	R07510	K02293
pmm:PMM0144	473	Amino_oxidase NAD_binding_8 MCRA DAO Pyr_redox Pyr_redox_2 Thi4 FAD_binding_2 FAD_oxidored FMO-like TxDE HI0933_like FAD_binding_3	R09652	K02293
pmm:PMM0144	473	Amino_oxidase NAD_binding_8 MCRA DAO Pyr_redox Pyr_redox_2 Thi4 FAD_binding_2 FAD_oxidored FMO-like TxDE HI0933_like FAD_binding_3	R09653	K02293
pmm:PMM0144	473	Amino_oxidase NAD_binding_8 MCRA DAO Pyr_redox Pyr_redox_2 Thi4 FAD_binding_2 FAD_oxidored FMO-like TxDE HI0933_like FAD_binding_3	R09654	K02293
pmm:PMM0145	115	NdhM	R11945	K05584
pmm:PMM0149	670	Proton_antipo_M Proton_antipo_N Proton_antipo_C	R11945	K05577
pmm:PMM0150	546	Proton_antipo_M Oxidored_q5_N DUF3098 SirB	R11945	K05575
pmm:PMM0152	392	NTP_transferase NTP_transf_3 Hexapep	R00885	K00966
pmm:PMM0156	299	NAD_kinase DAGK_cat	R00104	K00858
pmm:PMM0157	106	Oxidored_q2 YiaAB	R11945	K05576
pmm:PMM0158	199	Oxidored_q3	R11945	K05578
pmm:PMM0159	208	Fer4 Fer4_7 Fer4_16 Fer4_10 Fer4_9 Fer4_21 Fer4_2 Fer4_18 Fer4_17 Fer4_8 Fer4_13 Fer4_6 Fer4_4 Fer4_15 Fer4_3	R11945	K05580
pmm:PMM0160	372	NADHdh	R11945	K05572
pmm:PMM0161	381	Citrate_synt	R00351	K01647
pmm:PMM0164	414	PALP	R00674	K01696
pmm:PMM0164	414	PALP	R02340	K01696
pmm:PMM0164	414	PALP	R02722	K01696
pmm:PMM0166	208	APS_kinase AAA_33 AAA_18 AAA_29 KTI12 ABC_tran AAA_16 NB-ARC AAA_24 RsgA_GTPase ATP_bind_1 Zeta_toxin Torsin G-alpha AAA_17 MeaB CPT AAA_30 NTPase_1 AAA_22 RNA_helicase SRP54	R00509	K00860
pmm:PMM0166	208	APS_kinase AAA_33 AAA_18 AAA_29 KTI12 ABC_tran AAA_16 NB-ARC AAA_24 RsgA_GTPase ATP_bind_1 Zeta_toxin Torsin G-alpha AAA_17 MeaB CPT AAA_30 NTPase_1 AAA_22 RNA_helicase SRP54	R04928	K00860
pmm:PMM0167	163	AIRC PrpR_N	R07405	K01588
pmm:PMM0168	233	Mg-por_mtran_C Methyltransf_25 Methyltransf_12 Methyltransf_11 Methyltransf_31 Methyltransf_23 Ubie_methyltran MTS PrmA Methyltransf_18 NodS CMAS CagE_TrbE_VirB Methyltransf_32 CheR Methyltransf_29	R04237	K03428
pmm:PMM0170	382	Aminotran_5 Beta_elim_lyase	R07460	K04487
pmm:PMM0170	382	Aminotran_5 Beta_elim_lyase	R11528	K04487
pmm:PMM0170	382	Aminotran_5 Beta_elim_lyase	R11529	K04487
pmm:PMM0172	395	Complex1_49kDa NiFeSe_Hases	R11945	K05579
pmm:PMM0173	150	4HBT_2 4HBT	R07262	K12073
pmm:PMM0174	405	AMP-binding	R04030	K01911
pmm:PMM0175	321	MR_MLE_C	R04031	K02549
pmm:PMM0176	305	UbiA	R12255	K23094
pmm:PMM0177	465	Chorismate_bind DUF3461 SH3_13	R01717	K02552
pmm:PMM0178	307	GSH-S_ATP GSH-S_N RimK ATPgrasp_YheCD ATPgrasp_ST	R00497	K01920
pmm:PMM0178	307	GSH-S_ATP GSH-S_N RimK ATPgrasp_YheCD ATPgrasp_ST	R10994	K01920
pmm:PMM0183	138	DAGK_prokar DUF1146 DUF5552 MscL	R02240	K00901
pmm:PMM0184	198	GATase Peptidase_C26 RRM_4	R01716	K01664
pmm:PMM0186	369	Aminotran_1_2 Aminotran_5 Alliinase_C Cys_Met_Meta_PP	R00694	K00817
pmm:PMM0186	369	Aminotran_1_2 Aminotran_5 Alliinase_C Cys_Met_Meta_PP	R00734	K00817
pmm:PMM0186	369	Aminotran_1_2 Aminotran_5 Alliinase_C Cys_Met_Meta_PP	R03243	K00817
pmm:PMM0187	603	tRNA-synt_1d DALR_1 Arg_tRNA_synt_N Syd tRNA-synt_1e DUF3294	R03646	K01887
pmm:PMM0188	288	QRPTase_C QRPTase_N	R03348	K00767
pmm:PMM0189	460	MnmE_helical TrmE_N MMR_HSR1 FeoB_N Ras AIG1 Dynamin_N RsgA_GTPase Roc AAA_18	R08701	K03650
pmm:PMM0191	769	HD_4 RelA_SpoT TGS ACT_4 HD ACT DNA_pol3_gamma3	R00336	K01139
pmm:PMM0191	769	HD_4 RelA_SpoT TGS ACT_4 HD ACT DNA_pol3_gamma3	R00429	K01139
pmm:PMM0195	402	PGK	R01512	K00927
pmm:PMM0197	364	Glyco_tran_28_C Glyco_transf_28 Epimerase_2 Glyco_transf_4 DUF5563	R05032	K02563
pmm:PMM0197	364	Glyco_tran_28_C Glyco_transf_28 Epimerase_2 Glyco_transf_4 DUF5563	R05662	K02563
pmm:PMM0199	389	DHO_dh	R01868	K00254
pmm:PMM0208	430	Enolase_C Enolase_N MR_MLE_C MAAL_C	R00658	K01689
pmm:PMM0211	318	Pyr_redox_2 Pyr_redox_3 Pyr_redox FAD_binding_2 DAO FAD_oxidored HI0933_like NAD_binding_8 Thi4 GIDA Lycopene_cycl FAD_binding_3 Binary_toxB	R02016	K00384
pmm:PMM0211	318	Pyr_redox_2 Pyr_redox_3 Pyr_redox FAD_binding_2 DAO FAD_oxidored HI0933_like NAD_binding_8 Thi4 GIDA Lycopene_cycl FAD_binding_3 Binary_toxB	R03596	K00384
pmm:PMM0211	318	Pyr_redox_2 Pyr_redox_3 Pyr_redox FAD_binding_2 DAO FAD_oxidored HI0933_like NAD_binding_8 Thi4 GIDA Lycopene_cycl FAD_binding_3 Binary_toxB	R09372	K00384
pmm:PMM0215	333	ALAD	R00036	K01698
pmm:PMM0222	295	AstE_AspA DUF3368	R00488	K01437
pmm:PMM0222	295	AstE_AspA DUF3368	R00526	K01437
pmm:PMM0224	364	Chorismate_synt	R01714	K01736
pmm:PMM0225	213	Aldolase His_biosynth	R00470	K01625
pmm:PMM0225	213	Aldolase His_biosynth	R05605	K01625
pmm:PMM0227	391	ATP-sulfurylase PUA_2	R00529	K00958
pmm:PMM0227	391	ATP-sulfurylase PUA_2	R04929	K00958
pmm:PMM0229	418	DFP Flavoprotein DUF771	R03269	K13038
pmm:PMM0229	418	DFP Flavoprotein DUF771	R04231	K13038
pmm:PMM0233	338	OTCace_N OTCace	R01397	K00609
pmm:PMM0235	97	Glu-tRNAGln DUF2927	R03905	K02435
pmm:PMM0235	97	Glu-tRNAGln DUF2927	R04212	K02435
pmm:PMM0238	965	tRNA-synt_1 Anticodon_1 tRNA-synt_1g tRNA-synt_1_2 tRNA-synt_1e zf-FPG_IleRS	R03656	K01870
pmm:PMM0241	452	PGM_PMM_I PGM_PMM_III PGM_PMM_II PGM_PMM_IV	R02060	K03431
pmm:PMM0243	212	Thy1	R06613	K03465
pmm:PMM0244	197	dUTPase	R00568	K01494
pmm:PMM0244	197	dUTPase	R02325	K01494
pmm:PMM0245	191	CobA_CobO_BtuR RVT_thumb	R01492	K00798
pmm:PMM0245	191	CobA_CobO_BtuR RVT_thumb	R05220	K00798
pmm:PMM0245	191	CobA_CobO_BtuR RVT_thumb	R07268	K00798
pmm:PMM0255	206	Aconitase_C DUF3666	R03896	K01704
pmm:PMM0255	206	Aconitase_C DUF3666	R03898	K01704
pmm:PMM0255	206	Aconitase_C DUF3666	R03968	K01704
pmm:PMM0255	206	Aconitase_C DUF3666	R04001	K01704
pmm:PMM0255	206	Aconitase_C DUF3666	R10170	K01704
pmm:PMM0256	469	Aconitase	R03896	K01703
pmm:PMM0256	469	Aconitase	R03898	K01703
pmm:PMM0256	469	Aconitase	R03968	K01703
pmm:PMM0256	469	Aconitase	R04001	K01703
pmm:PMM0256	469	Aconitase	R08620	K01703
pmm:PMM0256	469	Aconitase	R08624	K01703
pmm:PMM0256	469	Aconitase	R08628	K01703
pmm:PMM0256	469	Aconitase	R08634	K01703
pmm:PMM0256	469	Aconitase	R08641	K01703
pmm:PMM0256	469	Aconitase	R08645	K01703
pmm:PMM0256	469	Aconitase	R10170	K01703
pmm:PMM0257	433	CinA MoCF_biosynth CinA_KH	R02322	K03742
pmm:PMM0258	423	SHMT Beta_elim_lyase Aminotran_1_2 Cys_Met_Meta_PP	R00945	K00600
pmm:PMM0258	423	SHMT Beta_elim_lyase Aminotran_1_2 Cys_Met_Meta_PP	R09099	K00600
pmm:PMM0264	398	LYTB PFK	R05884	K03527
pmm:PMM0264	398	LYTB PFK	R08210	K03527
pmm:PMM0266	517	AICARFT_IMPCHas MGS DUF4075	R01127	K00602
pmm:PMM0266	517	AICARFT_IMPCHas MGS DUF4075	R04560	K00602
pmm:PMM0270	246	CobS	R05223	K02233
pmm:PMM0270	246	CobS	R11174	K02233
pmm:PMM0271	372	TGT	R03789	K00773
pmm:PMM0271	372	TGT	R10209	K00773
pmm:PMM0275	186	UPRTase Pribosyltran	R01870	K00762
pmm:PMM0279	191	Ham1p_like	R00426	K02428
pmm:PMM0279	191	Ham1p_like	R00720	K02428
pmm:PMM0279	191	Ham1p_like	R01855	K02428
pmm:PMM0279	191	Ham1p_like	R02100	K02428
pmm:PMM0279	191	Ham1p_like	R02720	K02428
pmm:PMM0279	191	Ham1p_like	R03531	K02428
pmm:PMM0280	507	RPE65	R09601	K00464
pmm:PMM0281	201	IGPD	R03457	K01693
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R01404	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R04429	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R04430	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R04724	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R04725	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R04955	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R04956	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R04958	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R04959	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R04961	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R04962	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R04966	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R04967	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R04969	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R04970	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R07765	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R10118	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R10122	K00208
pmm:PMM0282	260	adh_short_C2 adh_short Enoyl_reductase KR	R11671	K00208
pmm:PMM0286	187	NUDIX	R01054	K01515
pmm:PMM0287	187	HPPK Topoisom_I_N	R03503	K00950
pmm:PMM0288	720	AAA_lid_2 VWA_2 Mg_chelatase VWA MCM Sigma54_activat AAA_5 AAA_16 AAA_33 NOA36	R03877	K03404
pmm:PMM0292	176	Complex1_30kDa	R11945	K05581
pmm:PMM0293	244	Oxidored_q6	R11945	K05582
pmm:PMM0294	120	Oxidored_q4	R11945	K05574
pmm:PMM0301	307	PNP_UDP_1	R01402	K00772
pmm:PMM0302	730	Pyr_redox_2 AIRS_C AIRS K_oxygenase DUF1891	R03595	K01008
pmm:PMM0310	409	FGGY_N FGGY_C	R01526	K22935
pmm:PMM0311	413	S-AdoMet_synt_C S-AdoMet_synt_M S-AdoMet_synt_N AdoMet_Synthase	R00177	K00789
pmm:PMM0311	413	S-AdoMet_synt_C S-AdoMet_synt_M S-AdoMet_synt_N AdoMet_Synthase	R04771	K00789
pmm:PMM0318	289	MTS Methyltransf_31 PrmA Methyltransf_4 Methyltransf_25 Methyltransf_12 Methyltransf_18 Methyltransf_15 Methyltransf_16 Cons_hypoth95 Methyltransf_23 GidB Methyltransf_5 UPF0020 Methyltransf_10 Methyltransf_2 Methyltransf_11 DOT1 Methyltransf_32 TRM HSP70	R10806	K02493
pmm:PMM0319	194	Sua5_yciO_yrdC	R10463	K07566
pmm:PMM0331	463	Aldedh	R00264	K00128
pmm:PMM0331	463	Aldedh	R00631	K00128
pmm:PMM0331	463	Aldedh	R00710	K00128
pmm:PMM0331	463	Aldedh	R00904	K00128
pmm:PMM0331	463	Aldedh	R01752	K00128
pmm:PMM0331	463	Aldedh	R01986	K00128
pmm:PMM0331	463	Aldedh	R02549	K00128
pmm:PMM0331	463	Aldedh	R02678	K00128
pmm:PMM0331	463	Aldedh	R02940	K00128
pmm:PMM0331	463	Aldedh	R02957	K00128
pmm:PMM0331	463	Aldedh	R03283	K00128
pmm:PMM0331	463	Aldedh	R03869	K00128
pmm:PMM0331	463	Aldedh	R04065	K00128
pmm:PMM0331	463	Aldedh	R04506	K00128
pmm:PMM0331	463	Aldedh	R04903	K00128
pmm:PMM0331	463	Aldedh	R05050	K00128
pmm:PMM0331	463	Aldedh	R05237	K00128
pmm:PMM0331	463	Aldedh	R05238	K00128
pmm:PMM0331	463	Aldedh	R05286	K00128
pmm:PMM0331	463	Aldedh	R06366	K00128
pmm:PMM0331	463	Aldedh	R08146	K00128
pmm:PMM0356	315	Abhydrolase_1 Hydrolase_4 Abhydrolase_6 Abhydrolase_4 Spermine_synth	R00135	K01259
pmm:PMM0357	207	TENA_THI-4 UPF0122	R02133	K03707
pmm:PMM0357	207	TENA_THI-4 UPF0122	R09993	K03707
pmm:PMM0358	262	Phos_pyr_kin PfkB	R03471	K00941
pmm:PMM0358	262	Phos_pyr_kin PfkB	R04509	K00941
pmm:PMM0373	147	Cyanate_lyase HTH_31	R03546	K01725
pmm:PMM0373	147	Cyanate_lyase HTH_31	R10079	K01725
pmm:PMM0387	146	DHquinase_II	R03084	K03786
pmm:PMM0389	251	TP_methylase	R03948	K03394
pmm:PMM0389	251	TP_methylase	R05808	K03394
pmm:PMM0396	268	P5CR_dimer F420_oxidored	R01248	K00286
pmm:PMM0396	268	P5CR_dimer F420_oxidored	R01251	K00286
pmm:PMM0396	268	P5CR_dimer F420_oxidored	R03291	K00286
pmm:PMM0396	268	P5CR_dimer F420_oxidored	R03293	K00286
pmm:PMM0399	219		R01066	K01619
